date,y
2016-01-01,450
2016-01-02,148
2016-01-03,99
2016-01-04,344
2016-01-05,271
2016-01-06,276
2016-01-07,209
2016-01-08,324
2016-01-09,211
2016-01-10,140
2016-01-11,256
2016-01-12,285
2016-01-13,358
2016-01-14,268
2016-01-15,336
2016-01-16,228
2016-01-17,218
2016-01-18,274
2016-01-19,240
2016-01-20,292
2016-01-21,298
2016-01-22,325
2016-01-23,316
2016-01-24,158
2016-01-25,273
2016-01-26,291
2016-01-27,257
2016-01-28,226
2016-01-29,284
2016-01-30,191
2016-01-31,146
2016-02-01,247
2016-02-02,208
2016-02-03,209
2016-02-04,262
2016-02-05,280
2016-02-06,189
2016-02-07,141
2016-02-08,247
2016-02-09,249
2016-02-10,247
2016-02-11,218
2016-02-12,268
2016-02-13,183
2016-02-14,139
2016-02-15,226
2016-02-16,238
2016-02-17,393
2016-02-18,256
2016-02-19,265
2016-02-20,176
2016-02-21,170
2016-02-22,250
2016-02-23,270
2016-02-24,268
2016-02-25,237
2016-02-26,245
2016-02-27,172
2016-02-28,144
2016-02-29,301
2016-03-01,313
2016-03-02,225
2016-03-03,240
2016-03-04,276
2016-03-05,178
2016-03-06,132
2016-03-07,264
2016-03-08,274
2016-03-09,283
2016-03-10,254
2016-03-11,242
2016-03-12,161
2016-03-13,135
2016-03-14,291
2016-03-15,260
2016-03-16,252
2016-03-17,318
2016-03-18,300
2016-03-19,164
2016-03-20,146
2016-03-21,266
2016-03-22,251
2016-03-23,260
2016-03-24,301
2016-03-25,193
2016-03-26,160
2016-03-27,188
2016-03-28,171
2016-03-29,300
2016-03-30,282
2016-03-31,282
2016-04-01,307
2016-04-02,186
2016-04-03,180
2016-04-04,275
2016-04-05,278
2016-04-06,306
2016-04-07,269
2016-04-08,279
2016-04-09,169
2016-04-10,146
2016-04-11,241
2016-04-12,247
2016-04-13,321
2016-04-14,269
2016-04-15,333
2016-04-16,216
2016-04-17,211
2016-04-18,303
2016-04-19,277
2016-04-20,319
2016-04-21,326
2016-04-22,338
2016-04-23,249
2016-04-24,168
2016-04-25,315
2016-04-26,325
2016-04-27,260
2016-04-28,277
2016-04-29,358
2016-04-30,226
2016-05-01,211
2016-05-02,304
2016-05-03,274
2016-05-04,314
2016-05-05,291
2016-05-06,348
2016-05-07,261
2016-05-08,241
2016-05-09,321
2016-05-10,312
2016-05-11,305
2016-05-12,301
2016-05-13,309
2016-05-14,249
2016-05-15,179
2016-05-16,312
2016-05-17,268
2016-05-18,281
2016-05-19,251
2016-05-20,353
2016-05-21,246
2016-05-22,221
2016-05-23,346
2016-05-24,310
2016-05-25,270
2016-05-26,290
2016-05-27,334
2016-05-28,248
2016-05-29,192
2016-05-30,308
2016-05-31,338
2016-06-01,325
2016-06-02,313
2016-06-03,299
2016-06-04,219
2016-06-05,184
