ds,y,temp
2016-01-01,450.0,-0.6
2016-01-02,148.0,-0.3
2016-01-03,99.0,-4.4
2016-01-04,344.0,-5.9
2016-01-05,271.0,-4.7
2016-01-06,276.0,-3.2
2016-01-07,209.0,-0.8
2016-01-08,324.0,1.9
2016-01-09,211.0,-2.6
2016-01-10,140.0,0.3
2016-01-11,256.0,3.0
2016-01-12,285.0,3.5
2016-01-13,358.0,2.6
2016-01-14,268.0,0.8
2016-01-15,336.0,0.1
2016-01-16,228.0,-2.2
2016-01-17,218.0,-2.8
2016-01-18,274.0,-7.1
2016-01-19,240.0,-8.4
2016-01-20,292.0,-5.1
2016-01-21,298.0,-5.8
2016-01-22,325.0,-11.8
2016-01-23,316.0,-6.3
2016-01-24,158.0,2.4
2016-01-25,273.0,4.8
2016-01-26,291.0,6.3
2016-01-27,257.0,9.2
2016-01-28,226.0,7.7
2016-01-29,284.0,4.8
2016-01-30,191.0,6.4
2016-01-31,146.0,2.9
2016-02-01,247.0,8.1
2016-02-02,208.0,9.7
2016-02-03,209.0,4.0
2016-02-04,262.0,1.7
2016-02-05,280.0,2.4
2016-02-06,189.0,5.6
2016-02-07,141.0,2.5
2016-02-08,247.0,7.1
2016-02-09,249.0,7.4
2016-02-10,247.0,3.9
2016-02-11,218.0,2.7
2016-02-12,268.0,1.4
2016-02-13,183.0,1.0
2016-02-14,139.0,5.7
2016-02-15,226.0,4.8
2016-02-16,238.0,0.5
2016-02-17,393.0,-1.0
2016-02-18,256.0,0.7
2016-02-19,265.0,1.3
2016-02-20,176.0,2.3
2016-02-21,170.0,9.4
2016-02-22,250.0,10.2
2016-02-23,270.0,1.8
2016-02-24,268.0,1.5
2016-02-25,237.0,-0.8
2016-02-26,245.0,-0.8
2016-02-27,172.0,-0.8
2016-02-28,144.0,0.8
2016-02-29,301.0,1.3
2016-03-01,313.0,-1.2
2016-03-02,225.0,2.4
2016-03-03,240.0,2.2
2016-03-04,276.0,2.2
2016-03-05,178.0,3.2
2016-03-06,132.0,2.9
2016-03-07,264.0,1.9
2016-03-08,274.0,1.0
2016-03-09,283.0,-0.1
2016-03-10,254.0,4.1
2016-03-11,242.0,3.5
2016-03-12,161.0,2.7
2016-03-13,135.0,2.5
2016-03-14,291.0,2.1
2016-03-15,260.0,1.8
2016-03-16,252.0,2.4
2016-03-17,318.0,2.2
2016-03-18,300.0,4.6
2016-03-19,164.0,3.1
2016-03-20,146.0,3.3
2016-03-21,266.0,5.1
2016-03-22,251.0,4.9
2016-03-23,260.0,4.2
2016-03-24,301.0,3.6
2016-03-25,193.0,4.7
2016-03-26,160.0,5.2
2016-03-27,188.0,7.3
2016-03-28,171.0,9.8
2016-03-29,300.0,8.5
2016-03-30,282.0,8.1
2016-03-31,282.0,9.7
2016-04-01,307.0,4.4
2016-04-02,186.0,7.3
2016-04-03,180.0,10.3
2016-04-04,275.0,12.5
2016-04-05,278.0,15.4
2016-04-06,306.0,12.5
2016-04-07,269.0,11.4
2016-04-08,279.0,9.0
2016-04-09,169.0,6.7
2016-04-10,146.0,5.6
2016-04-11,241.0,7.3
2016-04-12,247.0,11.7
2016-04-13,321.0,11.8
2016-04-14,269.0,9.7
2016-04-15,333.0,7.6
2016-04-16,216.0,11.3
2016-04-17,211.0,9.8
2016-04-18,303.0,8.1
2016-04-19,277.0,7.2
2016-04-20,319.0,6.8
2016-04-21,326.0,8.4
2016-04-22,338.0,8.8
2016-04-23,249.0,6.9
2016-04-24,168.0,3.1
2016-04-25,315.0,2.7
2016-04-26,325.0,4.3
2016-04-27,260.0,4.1
2016-04-28,277.0,4.4
2016-04-29,358.0,6.8
2016-04-30,226.0,10.7
