ds,y,temp,daylight,holiday
2016-01-01,101.0,-0.6,8.148888888888889,1
2016-01-02,40.0,-0.3,8.166666666666666,1
2016-01-03,24.0,-4.4,8.186111111111112,1
2016-01-04,110.0,-5.9,8.206944444444444,0
2016-01-05,49.0,-4.7,8.229444444444445,0
2016-01-06,72.0,-3.2,8.253333333333334,0
2016-01-07,40.0,-0.8,8.278888888888888,0
2016-01-08,70.0,1.9,8.305833333333334,0
2016-01-09,59.0,-2.6,8.334166666666667,0
2016-01-10,32.0,0.3,8.363888888888889,0
2016-01-11,61.0,3.0,8.395,0
2016-01-12,92.0,3.5,8.427222222222222,0
2016-01-13,83.0,2.6,8.460833333333333,0
2016-01-14,62.0,0.8,8.495833333333334,0
2016-01-15,76.0,0.1,8.531944444444445,0
2016-01-16,49.0,-2.2,8.569444444444445,0
2016-01-17,42.0,-2.8,8.607777777777779,0
2016-01-18,58.0,-7.1,8.6475,0
2016-01-19,53.0,-8.4,8.688333333333333,0
2016-01-20,65.0,-5.1,8.73,0
2016-01-21,61.0,-5.8,8.772777777777778,0
2016-01-22,64.0,-11.8,8.816666666666666,0
2016-01-23,81.0,-6.3,8.86138888888889,0
2016-01-24,32.0,2.4,8.907222222222222,0
2016-01-25,44.0,4.8,8.953611111111112,0
2016-01-26,71.0,6.3,9.001111111111111,0
2016-01-27,63.0,9.2,9.049444444444445,0
2016-01-28,38.0,7.7,9.098333333333333,0
2016-01-29,83.0,4.8,9.148333333333333,1
2016-01-30,61.0,6.4,9.198888888888888,0
2016-01-31,42.0,2.9,9.25,0
2016-02-01,67.0,8.1,9.301944444444445,1
2016-02-02,56.0,9.7,9.354722222222222,1
2016-02-03,36.0,4.0,9.407777777777778,1
2016-02-04,47.0,1.7,9.461666666666666,1
2016-02-05,53.0,2.4,9.516111111111112,1
2016-02-06,42.0,5.6,9.570833333333333,1
2016-02-07,34.0,2.5,9.626388888888888,1
2016-02-08,44.0,7.1,9.682222222222222,1
2016-02-09,67.0,7.4,9.738611111111112,1
2016-02-10,66.0,3.9,9.795555555555556,1
2016-02-11,36.0,2.7,9.852777777777778,1
2016-02-12,57.0,1.4,9.910277777777777,1
2016-02-13,36.0,1.0,9.968333333333334,1
2016-02-14,46.0,5.7,10.026666666666667,1
2016-02-15,44.0,4.8,10.085555555555555,1
2016-02-16,64.0,0.5,10.144444444444444,1
2016-02-17,102.0,-1.0,10.203888888888889,1
2016-02-18,53.0,0.7,10.26361111111111,1
2016-02-19,58.0,1.3,10.323333333333334,1
2016-02-20,40.0,2.3,10.383611111111112,1
2016-02-21,47.0,9.4,10.443888888888889,1
2016-02-22,63.0,10.2,10.504444444444445,1
2016-02-23,58.0,1.8,10.565277777777778,1
2016-02-24,63.0,1.5,10.626388888888888,1
2016-02-25,52.0,-0.8,10.6875,1
2016-02-26,46.0,-0.8,10.748888888888889,1
2016-02-27,36.0,-0.8,10.810555555555556,1
2016-02-28,34.0,0.8,10.872222222222222,1
2016-02-29,88.0,1.3,10.934166666666666,1
2016-03-01,83.0,-1.2,10.99611111111111,1
2016-03-02,61.0,2.4,11.058333333333334,1
2016-03-03,65.0,2.2,11.120555555555555,1
2016-03-04,44.0,2.2,11.182777777777778,1
2016-03-05,40.0,3.2,11.245277777777778,1
2016-03-06,26.0,2.9,11.307777777777778,1
2016-03-07,48.0,1.9,11.370277777777778,1
2016-03-08,58.0,1.0,11.433055555555555,1
2016-03-09,88.0,-0.1,11.495555555555555,1
2016-03-10,68.0,4.1,11.558333333333334,1
2016-03-11,48.0,3.5,11.62138888888889,1
2016-03-12,37.0,2.7,11.684166666666666,1
2016-03-13,28.0,2.5,11.746944444444445,1
2016-03-14,52.0,2.1,11.81,0
2016-03-15,77.0,1.8,11.872777777777777,0
2016-03-16,48.0,2.4,11.935833333333333,0
2016-03-17,93.0,2.2,11.998888888888889,0
2016-03-18,82.0,4.6,12.061666666666667,0
2016-03-19,34.0,3.1,12.124722222222223,0
2016-03-20,44.0,3.3,12.1875,0
2016-03-21,53.0,5.1,12.250555555555556,0
2016-03-22,61.0,4.9,12.313333333333333,0
2016-03-23,65.0,4.2,12.376388888888888,0
2016-03-24,68.0,3.6,12.439166666666667,1
2016-03-25,67.0,4.7,12.501944444444444,1
2016-03-26,54.0,5.2,12.564722222222223,0
2016-03-27,55.0,7.3,12.627222222222223,0
2016-03-28,69.0,9.8,12.69,0
2016-03-29,71.0,8.5,12.7525,0
2016-03-30,50.0,8.1,12.815,0
2016-03-31,55.0,9.7,12.8775,0
2016-04-01,73.0,4.4,12.94,0
2016-04-02,53.0,7.3,13.002222222222223,0
2016-04-03,48.0,10.3,13.064444444444444,0
2016-04-04,61.0,12.5,13.126666666666667,0
