date,y
2016-01,7992
2016-02,6698
2016-03,7362
2016-04,7974
2016-05,8788
2016-06,8644
2016-07,8173
2016-08,8595
2016-09,8686
2016-10,9286
2016-11,8445
2016-12,8220
2017-01,8626
2017-02,6969
2017-03,7716
2017-04,7934
2017-05,9228
2017-06,9426
2017-07,8280
2017-08,9028
2017-09,8930
2017-10,9941
2017-11,8985
2017-12,8762
2018-01,8366
2018-02,6953
2018-03,8008
2018-04,8581
2018-05,9444
2018-06,8876
2018-07,8844
2018-08,9170
2018-09,9237
2018-10,10066
2018-11,8988
2018-12,8231
2019-01,8645
2019-02,7258
2019-03,8078
2019-04,9270
2019-05,9326
2019-06,9630
2019-07,8994
2019-08,9031
2019-09,9494
2019-10,9950
2019-11,9417
2019-12,8479
2020-01,8121
2020-02,7407
2020-03,6269
2020-04,6756
2020-05,8021
2020-06,8829
2020-07,8857
2020-08,9139
2020-09,8991
2020-10,7950
2020-11,7167
2020-12,7287
2021-01,7335
2021-02,6748
2021-03,6103
2021-04,7049
2021-05,8811
2021-06,9598
2021-07,8753
2021-08,8949
2021-09,9114
2021-10,9693
2021-11,8715
2021-12,8464
2022-01,7786
2022-02,6607
2022-03,7750
2022-04,7987
2022-05,9359
2022-06,8962
2022-07,8101
2022-08,8636
2022-09,8476
2022-10,8798
2022-11,7936
2022-12,7479
