ds,y,temp,daylight
2016-01-01,450.0,-0.6,8.148888888888889
2016-01-02,148.0,-0.3,8.166666666666666
2016-01-03,99.0,-4.4,8.186111111111112
2016-01-04,344.0,-5.9,8.206944444444444
2016-01-05,271.0,-4.7,8.229444444444445
2016-01-06,276.0,-3.2,8.253333333333334
2016-01-07,209.0,-0.8,8.278888888888888
2016-01-08,324.0,1.9,8.305833333333334
2016-01-09,211.0,-2.6,8.334166666666667
2016-01-10,140.0,0.3,8.363888888888889
2016-01-11,256.0,3.0,8.395
2016-01-12,285.0,3.5,8.427222222222222
2016-01-13,358.0,2.6,8.460833333333333
2016-01-14,268.0,0.8,8.495833333333334
2016-01-15,336.0,0.1,8.531944444444445
2016-01-16,228.0,-2.2,8.569444444444445
2016-01-17,218.0,-2.8,8.607777777777779
2016-01-18,274.0,-7.1,8.6475
2016-01-19,240.0,-8.4,8.688333333333333
2016-01-20,292.0,-5.1,8.73
2016-01-21,298.0,-5.8,8.772777777777778
2016-01-22,325.0,-11.8,8.816666666666666
2016-01-23,316.0,-6.3,8.86138888888889
2016-01-24,158.0,2.4,8.907222222222222
2016-01-25,273.0,4.8,8.953611111111112
2016-01-26,291.0,6.3,9.001111111111111
2016-01-27,257.0,9.2,9.049444444444445
2016-01-28,226.0,7.7,9.098333333333333
2016-01-29,284.0,4.8,9.148333333333333
2016-01-30,191.0,6.4,9.198888888888888
2016-01-31,146.0,2.9,9.25
2016-02-01,247.0,8.1,9.301944444444445
2016-02-02,208.0,9.7,9.354722222222222
2016-02-03,209.0,4.0,9.407777777777778
2016-02-04,262.0,1.7,9.461666666666666
2016-02-05,280.0,2.4,9.516111111111112
2016-02-06,189.0,5.6,9.570833333333333
2016-02-07,141.0,2.5,9.626388888888888
2016-02-08,247.0,7.1,9.682222222222222
2016-02-09,249.0,7.4,9.738611111111112
2016-02-10,247.0,3.9,9.795555555555556
2016-02-11,218.0,2.7,9.852777777777778
2016-02-12,268.0,1.4,9.910277777777777
2016-02-13,183.0,1.0,9.968333333333334
2016-02-14,139.0,5.7,10.026666666666667
2016-02-15,226.0,4.8,10.085555555555555
2016-02-16,238.0,0.5,10.144444444444444
2016-02-17,393.0,-1.0,10.203888888888889
2016-02-18,256.0,0.7,10.26361111111111
2016-02-19,265.0,1.3,10.323333333333334
2016-02-20,176.0,2.3,10.383611111111112
2016-02-21,170.0,9.4,10.443888888888889
2016-02-22,250.0,10.2,10.504444444444445
2016-02-23,270.0,1.8,10.565277777777778
2016-02-24,268.0,1.5,10.626388888888888
2016-02-25,237.0,-0.8,10.6875
2016-02-26,245.0,-0.8,10.748888888888889
2016-02-27,172.0,-0.8,10.810555555555556
2016-02-28,144.0,0.8,10.872222222222222
2016-02-29,301.0,1.3,10.934166666666666
2016-03-01,313.0,-1.2,10.99611111111111
2016-03-02,225.0,2.4,11.058333333333334
2016-03-03,240.0,2.2,11.120555555555555
2016-03-04,276.0,2.2,11.182777777777778
2016-03-05,178.0,3.2,11.245277777777778
2016-03-06,132.0,2.9,11.307777777777778
2016-03-07,264.0,1.9,11.370277777777778
2016-03-08,274.0,1.0,11.433055555555555
2016-03-09,283.0,-0.1,11.495555555555555
2016-03-10,254.0,4.1,11.558333333333334
2016-03-11,242.0,3.5,11.62138888888889
2016-03-12,161.0,2.7,11.684166666666666
2016-03-13,135.0,2.5,11.746944444444445
2016-03-14,291.0,2.1,11.81
2016-03-15,260.0,1.8,11.872777777777777
2016-03-16,252.0,2.4,11.935833333333333
2016-03-17,318.0,2.2,11.998888888888889
2016-03-18,300.0,4.6,12.061666666666667
2016-03-19,164.0,3.1,12.124722222222223
2016-03-20,146.0,3.3,12.1875
2016-03-21,266.0,5.1,12.250555555555556
2016-03-22,251.0,4.9,12.313333333333333
2016-03-23,260.0,4.2,12.376388888888888
2016-03-24,301.0,3.6,12.439166666666667
2016-03-25,193.0,4.7,12.501944444444444
2016-03-26,160.0,5.2,12.564722222222223
2016-03-27,188.0,7.3,12.627222222222223
2016-03-28,171.0,9.8,12.69
2016-03-29,300.0,8.5,12.7525
2016-03-30,282.0,8.1,12.815
2016-03-31,282.0,9.7,12.8775
2016-04-01,307.0,4.4,12.94
2016-04-02,186.0,7.3,13.002222222222223
2016-04-03,180.0,10.3,13.064444444444444
2016-04-04,275.0,12.5,13.126666666666667
2016-04-05,278.0,15.4,13.188611111111111
