model,RMSE,R2,MAPE
prophet,51.61718219357625,0.22035934718217398,0.16087976954266714
rf_grid,52.75500046267437,0.18560864698360235,0.17584841515039085
rf_randomized,54.32556223413426,0.1363965854520902,0.18122704765855288
rf_ga,54.53175170596828,0.12982863313051796,0.18215548601919646
gnn,55.403857896787926,0.10177341499302084,0.18298253543006454
mlp_randomized,55.898571512217586,0.08566086052909172,0.17809989326518336
mlp_grid,55.98928540640048,0.08269081807113698,0.17801208438488467
mlp_ga,56.88443181258324,0.0531248031634145,0.18915868264970714
transformer,57.61136297667392,0.028769770554115115,0.18147224757682687
lstm,60.85031245510252,-0.08350648904243263,0.21453441649130472
rnn,69.28298596598351,-0.4046207661342045,0.22667089196230814
svr,72.47132786546229,-0.5368742319779753,0.22938774862803105
arima,73.44030256442942,-0.5782463961185547,0.23663922852393904
catboost,78.34193864626091,-0.7959511522280014,0.2524416934198657
xgboost,81.50760062810207,-0.9440261793562088,0.2627651052239636
