model,RMSE,R2,MAPE
prophet,50.79495376719459,0.2449998634449404,0.15631503861790946
gnn,55.4086102816481,0.10161931375657662,0.1827071723949282
rf_grid,55.84464004840589,0.08742433529094229,0.18625707879258413
rf_ga,57.001110181860845,0.049236457772618536,0.19148539649843868
rf_randomized,57.009262038292384,0.04896449667996028,0.1917230966640501
lstm,57.828870572008704,0.02142230573617332,0.19867163234929647
mlp_randomized,59.014740088653824,-0.019123670902573275,0.19231483457934048
mlp_ga,59.225373434323714,-0.026411494560213855,0.19621651987080968
rnn,60.96011739973609,-0.08742041192642813,0.19422584600671947
mlp_grid,62.092257003458414,-0.1281862028240992,0.20767509538423828
transformer,69.16976995151569,-0.4000339074664203,0.2472457245600642
svr,71.86490242572332,-0.5112613374192287,0.22657064797784812
arima,73.44030256442942,-0.5782463961185547,0.23663922852393904
catboost,75.06571877076199,-0.6488805163035365,0.2434072398853217
xgboost,81.22925472137722,-0.9307712734183253,0.26176897477868943
