model,RMSE,R2,MAPE
prophet,51.61718219357625,0.22035934718217398,0.16087976954266714
rf_grid,52.75500046267437,0.18560864698360235,0.17584841515039085
rf_randomized,54.32556223413426,0.1363965854520902,0.18122704765855288
rf_ga,54.52445774109994,0.13006139935222538,0.18216492596982403
gnn,55.403857896787926,0.10177341499302084,0.18298253543006454
mlp_ga,55.894764760051466,0.0857853912241412,0.18584199642879978
mlp_randomized,55.898571512217586,0.08566086052909172,0.17809989326518336
mlp_grid,55.98928540640048,0.08269081807113698,0.17801208438488467
transformer,59.43129933127758,-0.03356154365678199,0.18614757074433547
lstm,62.1036425327706,-0.12859997985078375,0.21926855750466429
rnn,63.79648223725067,-0.19096597958331052,0.21094370017988115
svr,72.471327865462,-0.5368742319779634,0.22938774862802996
arima,73.44030256442942,-0.5782463961185547,0.23663922852393904
catboost,75.98122193342745,-0.6893453419908782,0.24497560348965988
xgboost,81.4227573147761,-0.939981114181498,0.26310662591896716
